protein	scaffold	accession	name
MP_ATCC35311___contig_1_fragment_7_570	MP_ATCC35311___contig_1_fragment_7	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_7_571	MP_ATCC35311___contig_1_fragment_7	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_7_572	MP_ATCC35311___contig_1_fragment_7	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
MP_ATCC35311___contig_1_fragment_7_573	MP_ATCC35311___contig_1_fragment_7	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]
MP_ATCC35311___contig_1_fragment_7_574	MP_ATCC35311___contig_1_fragment_7	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_7_575	MP_ATCC35311___contig_1_fragment_7	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_7_576	MP_ATCC35311___contig_1_fragment_7	VOG00743	sp|O48448|COMPL_BPSPP Tail completion protein gp17
MP_ATCC35311___contig_1_fragment_7_577	MP_ATCC35311___contig_1_fragment_7	VOG00149	sp|A9CRB8|TAIL_BPMR1 Putative tail protein
MP_ATCC35311___contig_1_fragment_7_578	MP_ATCC35311___contig_1_fragment_7	PF12363.8	"Phage tail assembly chaperone protein, TAC"
MP_ATCC35311___contig_1_fragment_7_579	MP_ATCC35311___contig_1_fragment_7	VOG01394	REFSEQ hypothetical protein
MP_ATCC35311___contig_1_fragment_7_580	MP_ATCC35311___contig_1_fragment_7	VOG02632	REFSEQ gp14
MP_ATCC35311___contig_1_fragment_7_581	MP_ATCC35311___contig_1_fragment_7	VOG00097	sp|O48459|DIT_BPSPP Distal tail protein
MP_ATCC35311___contig_1_fragment_7_582	MP_ATCC35311___contig_1_fragment_7	VOG00824	REFSEQ putative antireceptor
MP_ATCC35311___contig_1_fragment_7_583	MP_ATCC35311___contig_1_fragment_7	VOG21997	REFSEQ hypothetical protein
MP_ATCC35311___contig_1_fragment_7_584	MP_ATCC35311___contig_1_fragment_7	VOG13479	REFSEQ gp067
MP_ATCC35311___contig_1_fragment_7_585	MP_ATCC35311___contig_1_fragment_7	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_7_586	MP_ATCC35311___contig_1_fragment_7	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_7_587	MP_ATCC35311___contig_1_fragment_7	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_7_588	MP_ATCC35311___contig_1_fragment_7	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_7_589	MP_ATCC35311___contig_1_fragment_7	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_7_590	MP_ATCC35311___contig_1_fragment_7	PF16938.5	Putative phage holin Dp-1
MP_ATCC35311___contig_1_fragment_7_591	MP_ATCC35311___contig_1_fragment_7	PF05382.13	Bacteriophage peptidoglycan hydrolase
MP_ATCC35311___contig_1_fragment_8_607	MP_ATCC35311___contig_1_fragment_8	K06400	spoIVCA; site-specific DNA recombinase
MP_ATCC35311___contig_1_fragment_8_608	MP_ATCC35311___contig_1_fragment_8	K06400	spoIVCA; site-specific DNA recombinase
MP_ATCC35311___contig_1_fragment_8_609	MP_ATCC35311___contig_1_fragment_8	K06400	spoIVCA; site-specific DNA recombinase
MP_ATCC35311___contig_1_fragment_8_610	MP_ATCC35311___contig_1_fragment_8	VOG18091	REFSEQ hypothetical protein
MP_ATCC35311___contig_1_fragment_8_611	MP_ATCC35311___contig_1_fragment_8	VOG01271	sp|O31942|YONS_BACSU SPBc2 prophage-derived uncharacterized lipoprotein YonS
MP_ATCC35311___contig_1_fragment_8_612	MP_ATCC35311___contig_1_fragment_8	VOG02771	sp|P03034|RPC1_LAMBD Repressor protein cI
MP_ATCC35311___contig_1_fragment_8_613	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_614	MP_ATCC35311___contig_1_fragment_8	VOG10124	sp|O34449|YOQD_BACSU SPBc2 prophage-derived putative antirepressor protein YoqD
MP_ATCC35311___contig_1_fragment_8_615	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_616	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_617	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_618	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_619	MP_ATCC35311___contig_1_fragment_8	PF03837.14	RecT family
MP_ATCC35311___contig_1_fragment_8_620	MP_ATCC35311___contig_1_fragment_8	PF12684.7	PDDEXK-like domain of unknown function (DUF3799)
MP_ATCC35311___contig_1_fragment_8_621	MP_ATCC35311___contig_1_fragment_8	PF16784.5	Putative HNHc nuclease
MP_ATCC35311___contig_1_fragment_8_622	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_623	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_624	MP_ATCC35311___contig_1_fragment_8	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein
MP_ATCC35311___contig_1_fragment_8_625	MP_ATCC35311___contig_1_fragment_8	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein
MP_ATCC35311___contig_1_fragment_8_626	MP_ATCC35311___contig_1_fragment_8	PF05866.11	Endodeoxyribonuclease RusA
MP_ATCC35311___contig_1_fragment_8_627	MP_ATCC35311___contig_1_fragment_8	VOG10294	REFSEQ hypothetical protein
MP_ATCC35311___contig_1_fragment_8_628	MP_ATCC35311___contig_1_fragment_8	VOG10295	REFSEQ hypothetical protein
MP_ATCC35311___contig_1_fragment_8_629	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_630	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_631	MP_ATCC35311___contig_1_fragment_8	VOG00065	sp|Q38441|YOR5_BPSPP Uncharacterized 10.3 kDa protein in GP2-GP6 intergenic region
MP_ATCC35311___contig_1_fragment_8_632	MP_ATCC35311___contig_1_fragment_8	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
MP_ATCC35311___contig_1_fragment_8_633	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_634	MP_ATCC35311___contig_1_fragment_8	K07474	xtmA; phage terminase small subunit
MP_ATCC35311___contig_1_fragment_8_635	MP_ATCC35311___contig_1_fragment_8	K06909	xtmB; phage terminase large subunit
MP_ATCC35311___contig_1_fragment_8_636	MP_ATCC35311___contig_1_fragment_8	K06909	xtmB; phage terminase large subunit
MP_ATCC35311___contig_1_fragment_8_637	MP_ATCC35311___contig_1_fragment_8	PF17288.2	Terminase RNAseH like domain
MP_ATCC35311___contig_1_fragment_8_638	MP_ATCC35311___contig_1_fragment_8	VOG00639	REFSEQ portal protein
MP_ATCC35311___contig_1_fragment_8_639	MP_ATCC35311___contig_1_fragment_8	VOG01829	sp|Q04765|VSP1_BPLLH Structural protein
MP_ATCC35311___contig_1_fragment_8_640	MP_ATCC35311___contig_1_fragment_8	VOG01829	sp|Q04765|VSP1_BPLLH Structural protein
MP_ATCC35311___contig_1_fragment_8_641	MP_ATCC35311___contig_1_fragment_8	PF06810.11	Phage minor structural protein GP20
MP_ATCC35311___contig_1_fragment_8_642	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_643	MP_ATCC35311___contig_1_fragment_8	VOG00241	sp|P19727|CAPSB_BPT7 Minor capsid protein
MP_ATCC35311___contig_1_fragment_8_644	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_645	MP_ATCC35311___contig_1_fragment_8	VOG00918	sp|Q04768|YG34_BPLLH Uncharacterized protein ORF4
MP_ATCC35311___contig_1_fragment_8_646	MP_ATCC35311___contig_1_fragment_8	VOG04818	sp|Q04769|YG35_BPLLH Uncharacterized protein ORF5
MP_ATCC35311___contig_1_fragment_8_647	MP_ATCC35311___contig_1_fragment_8	PF11114.8	Minor capsid protein
MP_ATCC35311___contig_1_fragment_8_648	MP_ATCC35311___contig_1_fragment_8	VOG00870	REFSEQ hypothetical protein
MP_ATCC35311___contig_1_fragment_8_649	MP_ATCC35311___contig_1_fragment_8	VOG01483	REFSEQ major tail protein
MP_ATCC35311___contig_1_fragment_8_650	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_651	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_652	MP_ATCC35311___contig_1_fragment_8	VOG10276	REFSEQ hypothetical protein
MP_ATCC35311___contig_1_fragment_8_653	MP_ATCC35311___contig_1_fragment_8	VOG21220	REFSEQ phage tape measure protein
MP_ATCC35311___contig_1_fragment_8_654	MP_ATCC35311___contig_1_fragment_8	VOG00183	REFSEQ hypothetical protein
MP_ATCC35311___contig_1_fragment_8_655	MP_ATCC35311___contig_1_fragment_8	VOG01075	REFSEQ hypothetical protein
MP_ATCC35311___contig_1_fragment_8_656	MP_ATCC35311___contig_1_fragment_8	VOG00452	REFSEQ hypothetical protein
MP_ATCC35311___contig_1_fragment_8_657	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_658	MP_ATCC35311___contig_1_fragment_8	VOG18935	REFSEQ hypothetical protein
MP_ATCC35311___contig_1_fragment_8_659	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_660	MP_ATCC35311___contig_1_fragment_8	None	hypothetical protein
MP_ATCC35311___contig_1_fragment_8_661	MP_ATCC35311___contig_1_fragment_8	PF09693.10	Phage uncharacterised protein (Phage_XkdX)
MP_ATCC35311___contig_1_fragment_8_662	MP_ATCC35311___contig_1_fragment_8	PF10779.9	Haemolysin XhlA
MP_ATCC35311___contig_1_fragment_8_663	MP_ATCC35311___contig_1_fragment_8	PF16938.5	Putative phage holin Dp-1
MP_ATCC35311___contig_1_fragment_8_664	MP_ATCC35311___contig_1_fragment_8	PF05382.13	Bacteriophage peptidoglycan hydrolase
MP_ATCC35311___contig_1_fragment_8_665	MP_ATCC35311___contig_1_fragment_8	VOG14094	sp|A0A0H3CCP8|SOCA_CAUVN Antitoxin SocA
GCA_025728595___contig_43_1	GCA_025728595___contig_43	VOG01397	REFSEQ major tail protein
GCA_025728595___contig_43_2	GCA_025728595___contig_43	None	hypothetical protein
GCA_025728595___contig_43_3	GCA_025728595___contig_43	None	hypothetical protein
GCA_025728595___contig_43_4	GCA_025728595___contig_43	None	hypothetical protein
GCA_025728595___contig_19_1	GCA_025728595___contig_19	None	hypothetical protein
GCA_025728595___contig_19_2	GCA_025728595___contig_19	VOG13487	REFSEQ major capsid L
GCA_025728595___contig_19_3	GCA_025728595___contig_19	K06904	K06904; uncharacterized protein
GCA_025728595___contig_19_4	GCA_025728595___contig_19	PF04860.12	Phage portal protein
GCA_025728595___contig_19_5	GCA_025728595___contig_19	VOG04497	REFSEQ putative terminase small subunit
GCA_025728595___contig_19_6	GCA_025728595___contig_19	VOG00687	REFSEQ terminase small subunit
GCA_025728595___contig_19_7	GCA_025728595___contig_19	None	hypothetical protein
GCA_025728615___contig_9_1	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_2	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_3	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_4	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_5	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_6	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_7	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_8	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_9	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_10	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_11	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_12	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_13	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_14	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_15	GCA_025728615___contig_9	VOG11084	REFSEQ hypothetical protein
GCA_025728615___contig_9_16	GCA_025728615___contig_9	VOG09746	sp|P04892|ERF_BPP22 Essential recombination function protein
GCA_025728615___contig_9_17	GCA_025728615___contig_9	PF16784.5	Putative HNHc nuclease
GCA_025728615___contig_9_18	GCA_025728615___contig_9	VOG01042	sp|P39787|DNAD_BACSU DNA replication protein DnaD
GCA_025728615___contig_9_19	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_20	GCA_025728615___contig_9	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein
GCA_025728615___contig_9_21	GCA_025728615___contig_9	VOG01162	sp|O34055|ARPU_BPO12 Putative autolysin regulatory protein ArpU
GCA_025728615___contig_9_22	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_23	GCA_025728615___contig_9	VOG00361	sp|P10426|YIM2_BPPH1 Uncharacterized immunity region protein 2
GCA_025728615___contig_9_24	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_25	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_26	GCA_025728615___contig_9	VOG00962	REFSEQ hypothetical protein
GCA_025728615___contig_9_27	GCA_025728615___contig_9	VOG00687	REFSEQ terminase small subunit
GCA_025728615___contig_9_28	GCA_025728615___contig_9	VOG04497	REFSEQ putative terminase small subunit
GCA_025728615___contig_9_29	GCA_025728615___contig_9	PF04860.12	Phage portal protein
GCA_025728615___contig_9_30	GCA_025728615___contig_9	K06904	K06904; uncharacterized protein
GCA_025728615___contig_9_31	GCA_025728615___contig_9	VOG13487	REFSEQ major capsid L
GCA_025728615___contig_9_32	GCA_025728615___contig_9	VOG00181	REFSEQ hypothetical protein
GCA_025728615___contig_9_33	GCA_025728615___contig_9	VOG00066	sp|O48446|HCP16_BPSPP Head completion protein gp16
GCA_025728615___contig_9_34	GCA_025728615___contig_9	VOG03575	REFSEQ hypothetical protein
GCA_025728615___contig_9_35	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_36	GCA_025728615___contig_9	VOG01397	REFSEQ major tail protein
GCA_025728615___contig_9_37	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_38	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_39	GCA_025728615___contig_9	VOG21220	REFSEQ phage tape measure protein
GCA_025728615___contig_9_40	GCA_025728615___contig_9	VOG01075	REFSEQ hypothetical protein
GCA_025728615___contig_9_41	GCA_025728615___contig_9	PF06605.11	Prophage endopeptidase tail
GCA_025728615___contig_9_42	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_43	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728615___contig_9_44	GCA_025728615___contig_9	VOG18935	REFSEQ hypothetical protein
GCA_025728615___contig_9_45	GCA_025728615___contig_9	None	hypothetical protein
GCA_025728675___contig_13_1	GCA_025728675___contig_13	VOG20253	REFSEQ hypothetical protein
GCA_025728675___contig_13_2	GCA_025728675___contig_13	K07729	K07729; putative transcriptional regulator
GCA_025728675___contig_13_3	GCA_025728675___contig_13	PF03374.14	Phage antirepressor protein KilAC domain
GCA_025728675___contig_13_4	GCA_025728675___contig_13	None	hypothetical protein
GCA_025728675___contig_13_5	GCA_025728675___contig_13	None	hypothetical protein
GCA_025728675___contig_13_6	GCA_025728675___contig_13	None	hypothetical protein
GCA_025728675___contig_13_7	GCA_025728675___contig_13	None	hypothetical protein
GCA_025728675___contig_13_8	GCA_025728675___contig_13	None	hypothetical protein
GCA_025728675___contig_13_9	GCA_025728675___contig_13	None	hypothetical protein
GCA_025728675___contig_13_10	GCA_025728675___contig_13	None	hypothetical protein
GCA_025728675___contig_13_11	GCA_025728675___contig_13	None	hypothetical protein
GCA_025728675___contig_13_12	GCA_025728675___contig_13	None	hypothetical protein
GCA_025728675___contig_13_13	GCA_025728675___contig_13	None	hypothetical protein
GCA_025728675___contig_13_14	GCA_025728675___contig_13	None	hypothetical protein
GCA_025728595___contig_14_1	GCA_025728595___contig_14	None	hypothetical protein
GCA_025728595___contig_14_2	GCA_025728595___contig_14	VOG01156	REFSEQ hypothetical protein
GCA_025728595___contig_14_3	GCA_025728595___contig_14	None	hypothetical protein
GCA_025728595___contig_14_4	GCA_025728595___contig_14	VOG01162	sp|O34055|ARPU_BPO12 Putative autolysin regulatory protein ArpU
GCA_025728595___contig_14_5	GCA_025728595___contig_14	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein
GCA_025728595___contig_14_6	GCA_025728595___contig_14	None	hypothetical protein
GCA_025728595___contig_14_7	GCA_025728595___contig_14	VOG21431	REFSEQ hypothetical protein
GCA_025728595___contig_14_8	GCA_025728595___contig_14	PF16784.5	Putative HNHc nuclease
GCA_025728595___contig_14_9	GCA_025728595___contig_14	PF12684.7	PDDEXK-like domain of unknown function (DUF3799)
GCA_025728595___contig_14_10	GCA_025728595___contig_14	PF03837.14	RecT family
GCA_025728595___contig_14_11	GCA_025728595___contig_14	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_12	GCA_001047435___contig_4_fragment_1	VOG14094	sp|A0A0H3CCP8|SOCA_CAUVN Antitoxin SocA
GCA_001047435___contig_4_fragment_1_13	GCA_001047435___contig_4_fragment_1	PF10097.9	Predicted membrane protein (DUF2335)
GCA_001047435___contig_4_fragment_1_14	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_15	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_16	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_17	GCA_001047435___contig_4_fragment_1	K07273	acm; lysozyme
GCA_001047435___contig_4_fragment_1_18	GCA_001047435___contig_4_fragment_1	PF16938.5	Putative phage holin Dp-1
GCA_001047435___contig_4_fragment_1_19	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_20	GCA_001047435___contig_4_fragment_1	PF09693.10	Phage uncharacterised protein (Phage_XkdX)
GCA_001047435___contig_4_fragment_1_21	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_22	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_23	GCA_001047435___contig_4_fragment_1	VOG18935	REFSEQ hypothetical protein
GCA_001047435___contig_4_fragment_1_24	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_25	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_26	GCA_001047435___contig_4_fragment_1	PF06605.11	Prophage endopeptidase tail
GCA_001047435___contig_4_fragment_1_27	GCA_001047435___contig_4_fragment_1	VOG01075	REFSEQ hypothetical protein
GCA_001047435___contig_4_fragment_1_28	GCA_001047435___contig_4_fragment_1	VOG04056	REFSEQ hypothetical protein
GCA_001047435___contig_4_fragment_1_29	GCA_001047435___contig_4_fragment_1	VOG21220	REFSEQ phage tape measure protein
GCA_001047435___contig_4_fragment_1_30	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_31	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_32	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_33	GCA_001047435___contig_4_fragment_1	VOG01397	REFSEQ major tail protein
GCA_001047435___contig_4_fragment_1_34	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_35	GCA_001047435___contig_4_fragment_1	VOG03575	REFSEQ hypothetical protein
GCA_001047435___contig_4_fragment_1_36	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_37	GCA_001047435___contig_4_fragment_1	VOG00181	REFSEQ hypothetical protein
GCA_001047435___contig_4_fragment_1_38	GCA_001047435___contig_4_fragment_1	VOG13487	REFSEQ major capsid L
GCA_001047435___contig_4_fragment_1_39	GCA_001047435___contig_4_fragment_1	K06904	K06904; uncharacterized protein
GCA_001047435___contig_4_fragment_1_40	GCA_001047435___contig_4_fragment_1	PF04860.12	Phage portal protein
GCA_001047435___contig_4_fragment_1_41	GCA_001047435___contig_4_fragment_1	PF03354.15	Phage Terminase
GCA_001047435___contig_4_fragment_1_42	GCA_001047435___contig_4_fragment_1	VOG04497	REFSEQ putative terminase small subunit
GCA_001047435___contig_4_fragment_1_43	GCA_001047435___contig_4_fragment_1	VOG00687	REFSEQ terminase small subunit
GCA_001047435___contig_4_fragment_1_44	GCA_001047435___contig_4_fragment_1	VOG00962	REFSEQ hypothetical protein
GCA_001047435___contig_4_fragment_1_45	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_46	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_47	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_48	GCA_001047435___contig_4_fragment_1	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
GCA_001047435___contig_4_fragment_1_49	GCA_001047435___contig_4_fragment_1	VOG00065	sp|Q38441|YOR5_BPSPP Uncharacterized 10.3 kDa protein in GP2-GP6 intergenic region
GCA_001047435___contig_4_fragment_1_50	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_51	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_52	GCA_001047435___contig_4_fragment_1	PF05866.11	Endodeoxyribonuclease RusA
GCA_001047435___contig_4_fragment_1_53	GCA_001047435___contig_4_fragment_1	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein
GCA_001047435___contig_4_fragment_1_54	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_55	GCA_001047435___contig_4_fragment_1	VOG21431	REFSEQ hypothetical protein
GCA_001047435___contig_4_fragment_1_56	GCA_001047435___contig_4_fragment_1	PF16784.5	Putative HNHc nuclease
GCA_001047435___contig_4_fragment_1_57	GCA_001047435___contig_4_fragment_1	PF04404.12	ERF superfamily
GCA_001047435___contig_4_fragment_1_58	GCA_001047435___contig_4_fragment_1	VOG11084	REFSEQ hypothetical protein
GCA_001047435___contig_4_fragment_1_59	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_60	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_61	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_62	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_63	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_64	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_65	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_66	GCA_001047435___contig_4_fragment_1	K07741	antB; anti-repressor protein
GCA_001047435___contig_4_fragment_1_67	GCA_001047435___contig_4_fragment_1	VOG14084	REFSEQ hypothetical protein
GCA_001047435___contig_4_fragment_1_68	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_69	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_70	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_71	GCA_001047435___contig_4_fragment_1	VOG10124	sp|O34449|YOQD_BACSU SPBc2 prophage-derived putative antirepressor protein YoqD
GCA_001047435___contig_4_fragment_1_72	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_73	GCA_001047435___contig_4_fragment_1	VOG20253	REFSEQ hypothetical protein
GCA_001047435___contig_4_fragment_1_74	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_75	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_76	GCA_001047435___contig_4_fragment_1	PF09669.10	Phage regulatory protein Rha (Phage_pRha)
GCA_001047435___contig_4_fragment_1_77	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_78	GCA_001047435___contig_4_fragment_1	None	hypothetical protein
GCA_001047435___contig_4_fragment_1_79	GCA_001047435___contig_4_fragment_1	K22300	"dicA; HTH-type transcriptional regulator, cell division transcriptional repressor"
GCA_001047435___contig_4_fragment_1_80	GCA_001047435___contig_4_fragment_1	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1
GCA_001047435___contig_4_fragment_1_81	GCA_001047435___contig_4_fragment_1	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
MP_BCQMy204___contig_1_fragment_3_287	MP_BCQMy204___contig_1_fragment_3	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1
MP_BCQMy204___contig_1_fragment_3_288	MP_BCQMy204___contig_1_fragment_3	VOG03321	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_3_289	MP_BCQMy204___contig_1_fragment_3	VOG00361	sp|P10426|YIM2_BPPH1 Uncharacterized immunity region protein 2
MP_BCQMy204___contig_1_fragment_3_290	MP_BCQMy204___contig_1_fragment_3	VOG02771	sp|P03034|RPC1_LAMBD Repressor protein cI
MP_BCQMy204___contig_1_fragment_3_291	MP_BCQMy204___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_3_292	MP_BCQMy204___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_3_293	MP_BCQMy204___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_3_294	MP_BCQMy204___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_3_295	MP_BCQMy204___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_3_296	MP_BCQMy204___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_3_297	MP_BCQMy204___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_3_298	MP_BCQMy204___contig_1_fragment_3	VOG00523	sp|Q9T1Q7|VP41_BPAPS Putative protein p41
MP_BCQMy204___contig_1_fragment_3_299	MP_BCQMy204___contig_1_fragment_3	VOG00399	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44
MP_BCQMy204___contig_1_fragment_3_300	MP_BCQMy204___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_3_301	MP_BCQMy204___contig_1_fragment_3	PF13479.6	AAA domain
MP_BCQMy204___contig_1_fragment_3_302	MP_BCQMy204___contig_1_fragment_3	VOG03001	REFSEQ hypothetical protein
MP_BCQMy204___contig_1_fragment_3_303	MP_BCQMy204___contig_1_fragment_3	None	hypothetical protein
MP_BCQMy204___contig_1_fragment_3_304	MP_BCQMy204___contig_1_fragment_3	None	hypothetical protein
