protein	scaffold	KO	AMG	KO name	KO evalue	KO score	KO v-score	Pfam	Pfam name	Pfam evalue	Pfam score	Pfam v-score	VOG	VOG name	VOG evalue	VOG score	VOG v-score
MP_LCAL0054___contig_1_fragment_3_308	MP_LCAL0054___contig_1_fragment_3																
MP_LCAL0054___contig_1_fragment_3_309	MP_LCAL0054___contig_1_fragment_3	K07451		mcrA; 5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	4.7000000000000006e-12	44.8	0.95	PF01844.23	HNH endonuclease	2.5000000000000003e-12	42.7	1.1	VOG00679	REFSEQ HNH endonuclease	2.5e-19	65.4	2.76
MP_LCAL0054___contig_1_fragment_3_310	MP_LCAL0054___contig_1_fragment_3																
MP_LCAL0054___contig_1_fragment_3_311	MP_LCAL0054___contig_1_fragment_3							PF03354.15	Phage Terminase	4.7000000000000005e-60	199.3	2.87	VOG09810	"sp|P17312|TERL_BPT4 Terminase, large subunit"	2.5999999999999998e-27	92.4	10.0
MP_LCAL0054___contig_1_fragment_3_312	MP_LCAL0054___contig_1_fragment_3							PF04860.12	Phage portal protein	1.9e-29	98.7	4.78	VOG00236	sp|Q4Z9G3|PORTL_BPTWO Probable portal protein	1.7000000000000002e-17	59.8	10.0
MP_LCAL0054___contig_1_fragment_3_313	MP_LCAL0054___contig_1_fragment_3	K06904		K06904; uncharacterized protein	1.3e-55	187.8	2.41	PF04586.17	Caudovirus prohead serine protease	9e-53	174.7	1.83	VOG03165	sp|Q6QGD7|PRO_BPT5 Prohead protease	4.2e-39	130.4	10.0
MP_LCAL0054___contig_1_fragment_3_314	MP_LCAL0054___contig_1_fragment_3							PF05065.13	Phage capsid family	2.2e-40	134.6	5.12	VOG00633	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17	7.8e-35	116.8	10.0
MP_LCAL0054___contig_1_fragment_3_315	MP_LCAL0054___contig_1_fragment_3												VOG23089	REFSEQ hypothetical protein	5.2e-15	51.4	0.12
MP_LCAL0054___contig_1_fragment_3_316	MP_LCAL0054___contig_1_fragment_3												VOG23090	REFSEQ head-tail adaptor	5.4e-27	90.0	1.0
MP_LCAL0054___contig_1_fragment_3_317	MP_LCAL0054___contig_1_fragment_3												VOG23091	REFSEQ hypothetical protein	1.9999999999999998e-15	53.0	0.11
MP_LCAL0054___contig_1_fragment_3_318	MP_LCAL0054___contig_1_fragment_3												VOG00973	REFSEQ hypothetical protein	2.3999999999999998e-11	40.0	10.0
MP_LCAL0054___contig_1_fragment_3_319	MP_LCAL0054___contig_1_fragment_3												VOG01397	REFSEQ major tail protein	8.7e-12	40.9	6.53
MP_LCAL0054___contig_1_fragment_3_320	MP_LCAL0054___contig_1_fragment_3																
MP_LCAL0054___contig_1_fragment_3_321	MP_LCAL0054___contig_1_fragment_3							PF10145.9	Phage-related minor tail protein	1.9e-17	59.7	4.37	VOG02333	REFSEQ tail tape measure protein	5e-35	117.1	1.21
MP_LCAL0054___contig_1_fragment_3_322	MP_LCAL0054___contig_1_fragment_3																
MP_LCAL0054___contig_1_fragment_3_323	MP_LCAL0054___contig_1_fragment_3							PF18013.1	Phage tail lysozyme	9.999999999999999e-33	109.0	1.0	VOG00824	REFSEQ putative antireceptor	5.5999999999999996e-73	242.5	1.44
MP_LCAL0054___contig_1_fragment_3_324	MP_LCAL0054___contig_1_fragment_3							PF10651.9	BppU N-terminal domain	6.7e-35	115.9	1.48	VOG13479	REFSEQ gp067	1.4999999999999998e-52	174.4	0.52
MP_LCAL0054___contig_1_fragment_3_325	MP_LCAL0054___contig_1_fragment_3																
MP_LCAL0054___contig_1_fragment_3_326	MP_LCAL0054___contig_1_fragment_3																
MP_LCAL0054___contig_1_fragment_3_327	MP_LCAL0054___contig_1_fragment_3							PF10779.9	Haemolysin XhlA	7.1e-21	70.1	1.0	VOG00192	sp|O48470|HOL24_BPSPP Holin-like protein 24.1	2.1e-13	46.2	1.97
MP_LCAL0054___contig_1_fragment_3_328	MP_LCAL0054___contig_1_fragment_3							PF16938.5	Putative phage holin Dp-1	3.5e-31	103.1	1.0	VOG01434	sp|O03978|HOLIN_BPDP1 Holin	2.6000000000000002e-20	68.7	1.0
MP_LCAL0054___contig_1_fragment_3_329	MP_LCAL0054___contig_1_fragment_3							PF05382.13	Bacteriophage peptidoglycan hydrolase	7.299999999999999e-63	206.6	1.0	VOG02574	sp|O03979|ALYS_BPDP1 Lysin	5.399999999999999e-55	182.8	3.48
MP_LCAL0054___contig_1_fragment_5_447	MP_LCAL0054___contig_1_fragment_5	K06977		K06977; uncharacterized protein	5.9e-25	87.2	0	PF00583.25	Acetyltransferase (GNAT) family	2.2e-15	52.8	0.25	VOG00468	sp|C7IZ16|GNA2_ORYSJ Probable glucosamine 6-phosphate N-acetyltransferase 2	5.4e-13	45.0	1.97
MP_LCAL0054___contig_1_fragment_5_448	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_449	MP_LCAL0054___contig_1_fragment_5	K21064	AMG	"ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"	1.8999999999999997e-48	164.1	0.02	PF08282.12	haloacid dehalogenase-like hydrolase	1.6e-60	200.9	0.02					
MP_LCAL0054___contig_1_fragment_5_450	MP_LCAL0054___contig_1_fragment_5	K14059		int; integrase	2.3e-50	170.9	7.0	PF00589.22	Phage integrase family	1.4e-31	105.5	9.33	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1	3.0999999999999996e-61	203.4	10.0
MP_LCAL0054___contig_1_fragment_5_451	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_452	MP_LCAL0054___contig_1_fragment_5							PF07553.11	Host cell surface-exposed lipoprotein	3.7e-44	144.7	0.32	VOG03321	REFSEQ hypothetical protein	3.4e-40	133.7	0.81
MP_LCAL0054___contig_1_fragment_5_453	MP_LCAL0054___contig_1_fragment_5	K01356		lexA; repressor LexA [EC:3.4.21.88]	1.1999999999999998e-23	82.8	2.88	PF12844.7	Helix-turn-helix domain	3.9e-13	45.1	0.4	VOG20253	REFSEQ hypothetical protein	4.9000000000000004e-29	96.9	0.66
MP_LCAL0054___contig_1_fragment_5_454	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_455	MP_LCAL0054___contig_1_fragment_5	K07741		antB; anti-repressor protein	3.8e-30	104.7	2.25	PF03374.14	Phage antirepressor protein KilAC domain	5.2e-36	119.2	2.71	VOG10124	sp|O34449|YOQD_BACSU SPBc2 prophage-derived putative antirepressor protein YoqD	4.6e-46	153.3	7.43
MP_LCAL0054___contig_1_fragment_5_456	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_457	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_458	MP_LCAL0054___contig_1_fragment_5	K07741		antB; anti-repressor protein	7.299999999999998e-72	241.6	2.25	PF03374.14	Phage antirepressor protein KilAC domain	3.1e-36	119.9	2.71	VOG00572	sp|P19655|ANT_BPP1 Antirepressor protein 1	3.2e-36	120.9	6.13
MP_LCAL0054___contig_1_fragment_5_459	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_460	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_461	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_462	MP_LCAL0054___contig_1_fragment_5	K07741		antB; anti-repressor protein	2.8999999999999993e-69	233.1	2.25	PF03374.14	Phage antirepressor protein KilAC domain	5.3e-36	119.1	2.71	VOG00572	sp|P19655|ANT_BPP1 Antirepressor protein 1	1.1000000000000002e-34	115.8	6.13
MP_LCAL0054___contig_1_fragment_5_463	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_464	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_465	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_466	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_467	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_468	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_469	MP_LCAL0054___contig_1_fragment_5							PF03837.14	RecT family	2.3999999999999995e-39	130.8	2.53	VOG10469	sp|P03698|VBET_LAMBD Recombination protein bet	1.7e-24	82.8	10.0
MP_LCAL0054___contig_1_fragment_5_470	MP_LCAL0054___contig_1_fragment_5							PF12684.7	PDDEXK-like domain of unknown function (DUF3799)	3.5999999999999996e-79	261.7	2.21	VOG00690	sp|P15032|RECE_ECOLI Exodeoxyribonuclease 8	2.8999999999999997e-35	117.9	6.89
MP_LCAL0054___contig_1_fragment_5_471	MP_LCAL0054___contig_1_fragment_5							PF16784.5	Putative HNHc nuclease	1.5e-35	118.5	0.55	VOG00232	sp|P76162|YDFU_ECOLI Uncharacterized protein YdfU	1.2e-30	102.1	2.92
MP_LCAL0054___contig_1_fragment_5_472	MP_LCAL0054___contig_1_fragment_5							PF09681.10	N-terminal phage replisome organiser (Phage_rep_org_N)	1.6e-33	111.1	1.0	VOG21431	REFSEQ hypothetical protein	1.1999999999999999e-52	174.5	2.25
MP_LCAL0054___contig_1_fragment_5_473	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_474	MP_LCAL0054___contig_1_fragment_5	K03111		ssb; single-strand DNA-binding protein	5.0999999999999995e-44	150.4	4.34	PF00436.25	Single-strand binding protein family	1e-35	117.8	4.28	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein	1.2e-48	161.0	10.0
MP_LCAL0054___contig_1_fragment_5_475	MP_LCAL0054___contig_1_fragment_5												VOG01162	sp|O34055|ARPU_BPO12 Putative autolysin regulatory protein ArpU	9.2e-33	109.2	4.78
MP_LCAL0054___contig_1_fragment_5_476	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_477	MP_LCAL0054___contig_1_fragment_5												VOG01156	REFSEQ hypothetical protein	3.7e-12	42.3	1.03
MP_LCAL0054___contig_1_fragment_5_478	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_479	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_480	MP_LCAL0054___contig_1_fragment_5	K07451		mcrA; 5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	2.0000000000000002e-11	42.7	0.95						VOG00962	REFSEQ hypothetical protein	2.2e-21	72.3	1.79
MP_LCAL0054___contig_1_fragment_5_481	MP_LCAL0054___contig_1_fragment_5							PF05119.12	"Phage terminase, small subunit"	9.6e-21	70.0	1.58	VOG00687	REFSEQ terminase small subunit	1.2e-25	86.0	8.56
MP_LCAL0054___contig_1_fragment_5_482	MP_LCAL0054___contig_1_fragment_5							PF03354.15	Phage Terminase	4.1000000000000003e-51	169.8	2.87	VOG04497	REFSEQ putative terminase small subunit	8.399999999999998e-75	247.2	1.93
MP_LCAL0054___contig_1_fragment_5_483	MP_LCAL0054___contig_1_fragment_5							PF04860.12	Phage portal protein	7.6e-46	152.6	4.78	VOG00236	sp|Q4Z9G3|PORTL_BPTWO Probable portal protein	6.499999999999999e-36	120.3	10.0
MP_LCAL0054___contig_1_fragment_5_484	MP_LCAL0054___contig_1_fragment_5	K06904		K06904; uncharacterized protein	9.599999999999999e-36	122.6	2.41	PF04586.17	Caudovirus prohead serine protease	1e-36	122.4	1.83	VOG03165	sp|Q6QGD7|PRO_BPT5 Prohead protease	9.000000000000001e-29	96.6	10.0
MP_LCAL0054___contig_1_fragment_5_485	MP_LCAL0054___contig_1_fragment_5							PF05065.13	Phage capsid family	9.7e-25	83.3	5.12	VOG13487	REFSEQ major capsid L	7.599999999999998e-90	297.9	1.98
MP_LCAL0054___contig_1_fragment_5_486	MP_LCAL0054___contig_1_fragment_5							PF05135.13	Phage gp6-like head-tail connector protein	3.9e-12	42.5	1.0	VOG00181	REFSEQ hypothetical protein	1.3999999999999999e-14	49.8	7.11
MP_LCAL0054___contig_1_fragment_5_487	MP_LCAL0054___contig_1_fragment_5												VOG00066	sp|O48446|HCP16_BPSPP Head completion protein gp16	2.3e-17	58.9	10.0
MP_LCAL0054___contig_1_fragment_5_488	MP_LCAL0054___contig_1_fragment_5												VOG03575	REFSEQ hypothetical protein	1.5e-22	76.0	1.72
MP_LCAL0054___contig_1_fragment_5_489	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_490	MP_LCAL0054___contig_1_fragment_5							PF04630.12	Phage tail tube protein	1.8e-23	78.8	1.0	VOG01397	REFSEQ major tail protein	6.799999999999999e-31	103.2	6.53
MP_LCAL0054___contig_1_fragment_5_491	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_492	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_493	MP_LCAL0054___contig_1_fragment_5												VOG04056	REFSEQ hypothetical protein	1.6e-81	270.5	0.58
MP_LCAL0054___contig_1_fragment_5_494	MP_LCAL0054___contig_1_fragment_5							PF05709.11	Phage tail protein	1.3e-29	99.3	3.63	VOG01075	REFSEQ hypothetical protein	2.4e-37	124.4	2.99
MP_LCAL0054___contig_1_fragment_5_495	MP_LCAL0054___contig_1_fragment_5							PF06605.11	Prophage endopeptidase tail	1.4e-45	151.7	4.15	VOG00452	REFSEQ hypothetical protein	2.1e-29	98.6	1.98
MP_LCAL0054___contig_1_fragment_5_496	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_497	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_498	MP_LCAL0054___contig_1_fragment_5							PF10651.9	BppU N-terminal domain	6.1e-35	116.0	1.48	VOG18935	REFSEQ hypothetical protein	1.6999999999999998e-36	121.9	0.23
MP_LCAL0054___contig_1_fragment_5_499	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_500	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_501	MP_LCAL0054___contig_1_fragment_5							PF09693.10	Phage uncharacterised protein (Phage_XkdX)	4.6e-19	64.1	1.0	VOG00146	sp|O31968|YOMP_BACSU SPBc2 prophage-derived uncharacterized protein YomP	7.3e-17	56.6	3.45
MP_LCAL0054___contig_1_fragment_5_502	MP_LCAL0054___contig_1_fragment_5							PF10779.9	Haemolysin XhlA	2.8999999999999996e-21	71.4	1.0	VOG00192	sp|O48470|HOL24_BPSPP Holin-like protein 24.1	1.1e-13	47.1	1.97
MP_LCAL0054___contig_1_fragment_5_503	MP_LCAL0054___contig_1_fragment_5							PF16938.5	Putative phage holin Dp-1	5.2e-31	102.6	1.0	VOG01434	sp|O03978|HOLIN_BPDP1 Holin	3.5e-19	65.1	1.0
MP_LCAL0054___contig_1_fragment_5_504	MP_LCAL0054___contig_1_fragment_5	K07273		acm; lysozyme	2.4999999999999997e-55	186.9	1.23	PF16775.5	Target recognition domain of lytic exoenzyme	6.2e-48	157.3	0.44	VOG23273	REFSEQ endolysin	2.2e-26	88.1	1.07
MP_LCAL0054___contig_1_fragment_5_505	MP_LCAL0054___contig_1_fragment_5																
MP_LCAL0054___contig_1_fragment_5_506	MP_LCAL0054___contig_1_fragment_5												VOG14226	REFSEQ hypothetical protein	1.5e-19	65.6	0.61
MP_LCAL0054___contig_1_fragment_7_675	MP_LCAL0054___contig_1_fragment_7	K00059	AMG	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	1.5999999999999997e-72	243.2	0.07	PF13561.6	Enoyl-(Acyl carrier protein) reductase	1.9e-61	203.5	0.07	VOG05855	sp|Q5UQM3|YR419_MIMIV Uncharacterized short-chain type dehydrogenase/reductase R419	1.4999999999999997e-40	134.9	0.11
MP_LCAL0054___contig_1_fragment_7_676	MP_LCAL0054___contig_1_fragment_7							PF11195.8	Protein of unknown function (DUF2829)	7.099999999999999e-26	86.2	0.65	VOG00178	REFSEQ hypothetical protein	3.6000000000000003e-13	45.3	3.23
MP_LCAL0054___contig_1_fragment_7_677	MP_LCAL0054___contig_1_fragment_7							PF01205.19	Uncharacterized protein family UPF0029	3.6e-34	113.2	0.01					
MP_LCAL0054___contig_1_fragment_7_678	MP_LCAL0054___contig_1_fragment_7	K02240		comFA; competence protein ComFA	8.2e-20	69.7	0.01										
MP_LCAL0054___contig_1_fragment_7_679	MP_LCAL0054___contig_1_fragment_7	K06400		spoIVCA; site-specific DNA recombinase	5.399999999999998e-119	397.5	2.76	PF00239.21	"Resolvase, N terminal domain"	1.6e-43	144.2	3.05	VOG00520	sp|P03015|GIN_BPMU Serine recombinase gin	2.1999999999999994e-108	358.9	10.0
MP_LCAL0054___contig_1_fragment_7_680	MP_LCAL0054___contig_1_fragment_7												VOG01190	REFSEQ hypothetical protein	1.7e-34	115.3	0.76
MP_LCAL0054___contig_1_fragment_7_681	MP_LCAL0054___contig_1_fragment_7																
MP_LCAL0054___contig_1_fragment_7_682	MP_LCAL0054___contig_1_fragment_7	K01356		lexA; repressor LexA [EC:3.4.21.88]	3.8000000000000005e-21	74.7	2.88	PF00717.23	Peptidase S24-like	3.7e-13	45.1	1.35	VOG20253	REFSEQ hypothetical protein	8.2e-55	181.3	0.66
MP_LCAL0054___contig_1_fragment_7_683	MP_LCAL0054___contig_1_fragment_7																
MP_LCAL0054___contig_1_fragment_7_684	MP_LCAL0054___contig_1_fragment_7	K07741		antB; anti-repressor protein	1.9e-17	63.0	2.25	PF03374.14	Phage antirepressor protein KilAC domain	5.3e-26	87.0	2.71	VOG10124	sp|O34449|YOQD_BACSU SPBc2 prophage-derived putative antirepressor protein YoqD	2.7999999999999995e-26	88.8	7.43
MP_LCAL0054___contig_1_fragment_7_685	MP_LCAL0054___contig_1_fragment_7																
MP_LCAL0054___contig_1_fragment_7_686	MP_LCAL0054___contig_1_fragment_7							PF10711.9	Hypothetical protein (DUF2513)	1e-25	86.0	0.26	VOG03676	REFSEQ hypothetical protein	2.9999999999999998e-33	110.7	0.69
MP_LCAL0054___contig_1_fragment_7_687	MP_LCAL0054___contig_1_fragment_7																
MP_LCAL0054___contig_1_fragment_7_688	MP_LCAL0054___contig_1_fragment_7																
MP_LCAL0054___contig_1_fragment_7_689	MP_LCAL0054___contig_1_fragment_7																
MP_LCAL0054___contig_1_fragment_7_690	MP_LCAL0054___contig_1_fragment_7																
MP_LCAL0054___contig_1_fragment_7_691	MP_LCAL0054___contig_1_fragment_7																
MP_LCAL0054___contig_1_fragment_7_692	MP_LCAL0054___contig_1_fragment_7																
MP_LCAL0054___contig_1_fragment_7_693	MP_LCAL0054___contig_1_fragment_7																
MP_LCAL0054___contig_1_fragment_7_694	MP_LCAL0054___contig_1_fragment_7																
MP_LCAL0054___contig_1_fragment_7_695	MP_LCAL0054___contig_1_fragment_7												VOG01036	sp|C0SP91|YYCJ_BACSU Putative metallo-hydrolase YycJ	7.399999999999999e-33	110.1	3.45
MP_LCAL0054___contig_1_fragment_7_696	MP_LCAL0054___contig_1_fragment_7							PF07083.11	Protein of unknown function (DUF1351)	1.4999999999999998e-29	99.1	0.84	VOG12256	REFSEQ hypothetical protein	8.5e-33	109.6	2.63
MP_LCAL0054___contig_1_fragment_7_697	MP_LCAL0054___contig_1_fragment_7												VOG24297	REFSEQ gp30	1.9e-38	128.2	0.05
MP_LCAL0054___contig_1_fragment_7_698	MP_LCAL0054___contig_1_fragment_7	K02319		"pol; DNA polymerase, archaea type [EC:2.7.7.7]"	2.8000000000000005e-17	61.1	2.28						VOG00674	REFSEQ putative DNA polymerase	4.9e-106	351.3	3.61
MP_LCAL0054___contig_1_fragment_7_699	MP_LCAL0054___contig_1_fragment_7																
MP_LCAL0054___contig_1_fragment_7_700	MP_LCAL0054___contig_1_fragment_7	K06919		K06919; putative DNA primase/helicase	2.0000000000000002e-24	84.0	2.86						VOG24298	REFSEQ gp32	1.3999999999999996e-160	531.6	0.05
MP_LCAL0054___contig_1_fragment_7_701	MP_LCAL0054___contig_1_fragment_7																
MP_LCAL0054___contig_1_fragment_7_702	MP_LCAL0054___contig_1_fragment_7												VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA	4.0000000000000004e-21	71.6	9.06
MP_LCAL0054___contig_1_fragment_7_703	MP_LCAL0054___contig_1_fragment_7																
MP_LCAL0054___contig_1_fragment_7_704	MP_LCAL0054___contig_1_fragment_7	K07474		xtmA; phage terminase small subunit	2.5999999999999996e-19	69.2	2.24	PF03592.16	Terminase small subunit	5.4e-19	64.9	2.02	VOG02869	sp|P68928|TERS_BPSF6 Terminase small subunit	5e-20	68.7	6.92
MP_LCAL0054___contig_1_fragment_7_705	MP_LCAL0054___contig_1_fragment_7	K06909		xtmB; phage terminase large subunit	3.4999999999999986e-113	377.8	4.5	PF04466.13	Phage terminase large subunit	9.799999999999999e-67	220.2	2.4	VOG00381	"sp|P54308|TERL_BPSPP Terminase, large subunit gp2"	7.199999999999999e-80	264.5	8.34
MP_LCAL0054___contig_1_fragment_7_706	MP_LCAL0054___contig_1_fragment_7							PF05133.14	"Phage portal protein, SPP1 Gp6-like"	1.7999999999999998e-94	313.1	4.16	VOG00213	sp|Q05220|PORTL_BPML5 Portal protein	9.499999999999997e-76	251.2	10.0
MP_LCAL0054___contig_1_fragment_7_707	MP_LCAL0054___contig_1_fragment_7							PF04233.14	Phage Mu protein F like protein	3.6e-17	59.0	2.29	VOG00686	sp|Q38442|GP7_BPSPP Minor head protein GP7	1.4999999999999997e-56	188.4	9.5
MP_LCAL0054___contig_1_fragment_7_708	MP_LCAL0054___contig_1_fragment_7							PF14265.6	Domain of unknown function (DUF4355)	6.3e-23	77.3	0.92	VOG02615	sp|O64209|SCAF_BPMD2 Probable capsid assembly scaffolding protein	3e-16	56.6	10.0
MP_LCAL0054___contig_1_fragment_7_709	MP_LCAL0054___contig_1_fragment_7							PF05065.13	Phage capsid family	4e-35	117.3	5.12	VOG00633	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17	8.400000000000001e-46	152.9	10.0
MP_LCAL0054___contig_1_fragment_7_710	MP_LCAL0054___contig_1_fragment_7	K20846		cgkA; kappa-carrageenase [EC:3.2.1.83]	1.3e-21	75.3	0.62	PF02368.18	Bacterial Ig-like domain (group 2)	1.1999999999999999e-32	107.6	1.22	VOG00186	sp|Q6QGE2|TUBE_BPT5 Tail tube protein	3.1e-30	101.3	3.82
MP_LCAL0054___contig_1_fragment_7_711	MP_LCAL0054___contig_1_fragment_7												VOG00283	sp|Q38584|HCP15_BPSPP Head completion protein gp15	1.8e-24	81.8	5.48
MP_LCAL0054___contig_1_fragment_7_712	MP_LCAL0054___contig_1_fragment_7												VOG01134	REFSEQ hypothetical protein	9.6e-34	111.6	2.59
MP_LCAL0054___contig_1_fragment_7_713	MP_LCAL0054___contig_1_fragment_7												VOG00973	REFSEQ hypothetical protein	9.699999999999999e-22	73.6	10.0
MP_LCAL0054___contig_1_fragment_7_714	MP_LCAL0054___contig_1_fragment_7												VOG00743	sp|O48448|COMPL_BPSPP Tail completion protein gp17	2.5e-26	88.1	4.73
MP_LCAL0054___contig_1_fragment_7_715	MP_LCAL0054___contig_1_fragment_7							PF06199.11	Phage tail tube protein	2.3e-20	69.0	1.0	VOG00149	sp|A9CRB8|TAIL_BPMR1 Putative tail protein	1.2999999999999998e-43	144.6	5.26
MP_LCAL0054___contig_1_fragment_7_716	MP_LCAL0054___contig_1_fragment_7							PF12363.8	"Phage tail assembly chaperone protein, TAC"	1.1e-36	121.5	1.0	VOG01394	REFSEQ hypothetical protein	2.4999999999999998e-23	78.5	2.22
MP_LCAL0054___contig_1_fragment_7_717	MP_LCAL0054___contig_1_fragment_7												VOG01394	REFSEQ hypothetical protein	2.3e-33	111.3	2.22
MP_LCAL0054___contig_1_fragment_7_718	MP_LCAL0054___contig_1_fragment_7												VOG02632	REFSEQ gp14	1.2e-31	105.5	8.4
MP_LCAL0054___contig_1_fragment_7_719	MP_LCAL0054___contig_1_fragment_7							PF05709.11	Phage tail protein	2.3999999999999997e-19	65.6	3.63	VOG00097	sp|O48459|DIT_BPSPP Distal tail protein	2.4e-34	114.9	5.58
MP_LCAL0054___contig_1_fragment_7_720	MP_LCAL0054___contig_1_fragment_7							PF18013.1	Phage tail lysozyme	9.2e-33	109.2	1.0	VOG00824	REFSEQ putative antireceptor	3.399999999999999e-124	411.8	1.44
MP_LCAL0054___contig_1_fragment_7_721	MP_LCAL0054___contig_1_fragment_7							PF10651.9	BppU N-terminal domain	1.4e-37	124.5	1.48	VOG13479	REFSEQ gp067	2.5999999999999997e-54	180.1	0.52
MP_LCAL0054___contig_1_fragment_7_722	MP_LCAL0054___contig_1_fragment_7																
MP_LCAL0054___contig_1_fragment_7_723	MP_LCAL0054___contig_1_fragment_7																
MP_LCAL0054___contig_1_fragment_7_724	MP_LCAL0054___contig_1_fragment_7							PF10779.9	Haemolysin XhlA	7.1e-21	70.1	1.0	VOG00192	sp|O48470|HOL24_BPSPP Holin-like protein 24.1	2.1e-13	46.2	1.97
MP_LCAL0054___contig_1_fragment_7_725	MP_LCAL0054___contig_1_fragment_7							PF16938.5	Putative phage holin Dp-1	3.5e-31	103.1	1.0	VOG01434	sp|O03978|HOLIN_BPDP1 Holin	2.6000000000000002e-20	68.7	1.0
MP_LCAL0054___contig_1_fragment_7_726	MP_LCAL0054___contig_1_fragment_7							PF05382.13	Bacteriophage peptidoglycan hydrolase	2.6e-61	201.5	1.0	VOG02574	sp|O03979|ALYS_BPDP1 Lysin	2.5e-53	177.3	3.48
MP_LCAL0054___contig_1_fragment_12_1168	MP_LCAL0054___contig_1_fragment_12	K14059		int; integrase	3.7000000000000005e-38	130.7	7.0	PF00589.22	Phage integrase family	2.3e-30	101.5	9.33	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1	3.8999999999999997e-53	176.8	10.0
MP_LCAL0054___contig_1_fragment_12_1169	MP_LCAL0054___contig_1_fragment_12																
MP_LCAL0054___contig_1_fragment_12_1170	MP_LCAL0054___contig_1_fragment_12																
MP_LCAL0054___contig_1_fragment_12_1171	MP_LCAL0054___contig_1_fragment_12																
MP_LCAL0054___contig_1_fragment_12_1172	MP_LCAL0054___contig_1_fragment_12												VOG14094	sp|A0A0H3CCP8|SOCA_CAUVN Antitoxin SocA	5.400000000000001e-14	48.1	1.24
MP_LCAL0054___contig_1_fragment_12_1173	MP_LCAL0054___contig_1_fragment_12	K07273		acm; lysozyme	3.3e-55	186.6	1.23	PF16775.5	Target recognition domain of lytic exoenzyme	1.3e-49	162.7	0.44	VOG23273	REFSEQ endolysin	3.3999999999999996e-28	94.1	1.07
MP_LCAL0054___contig_1_fragment_12_1174	MP_LCAL0054___contig_1_fragment_12							PF16938.5	Putative phage holin Dp-1	9.9e-31	101.7	1.0	VOG01434	sp|O03978|HOLIN_BPDP1 Holin	3.1e-19	65.3	1.0
MP_LCAL0054___contig_1_fragment_12_1175	MP_LCAL0054___contig_1_fragment_12																
MP_LCAL0054___contig_1_fragment_12_1176	MP_LCAL0054___contig_1_fragment_12							PF09693.10	Phage uncharacterised protein (Phage_XkdX)	2.2e-17	58.7	1.0	VOG00146	sp|O31968|YOMP_BACSU SPBc2 prophage-derived uncharacterized protein YomP	3.6e-17	57.6	3.45
MP_LCAL0054___contig_1_fragment_12_1177	MP_LCAL0054___contig_1_fragment_12																
MP_LCAL0054___contig_1_fragment_12_1178	MP_LCAL0054___contig_1_fragment_12																
