genome_id,Annotated,Proteins,Reference,Size (Kb),component (0.3),component size (0.3),Realm Reference (0.3),Realm Predictions (0.3),network (0.3),component (0.4),component size (0.4),Realm Reference (0.4),Realm Predictions (0.4),network (0.4),component (0.5),component size (0.5),Realm Reference (0.5),Realm Predictions (0.5),network (0.5),component (0.6),component size (0.6),Realm Reference (0.6),Realm Predictions (0.6),network (0.6),component (0.7),component size (0.7),Realm Reference (0.7),Realm Predictions (0.7),network (0.7),realm (prediction),realm (support),order (component),family (component),genus (component),subfamily (component)
MW715619.1,,62,True,44.88,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,35,100.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,1,15
MW748993.1,,92,True,49.154,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,21,86.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,300.0,14,38
MW749005.1,,63,True,44.887,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,41,49.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,1,16
MW822006.1,,56,True,44.963,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,41,49.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,1,16
MW822144.1,,115,True,82.521,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,57,2.0,Duplodnaviria,Duplodnaviria,,86,2.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,9.0,55.0,1,51
MW822145.1,,234,True,130.929,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,71,27.0,Duplodnaviria,Duplodnaviria,,104,27.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,39.0,196.0,4,3
MW822148.1,,241,True,156.127,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,20,787.0,Duplodnaviria,Duplodnaviria,,29,742.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,6.0,46.0,59,17
MW835180.1,,72,True,57.919,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,28,41.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,66.0,326.0,13,132
MW862109.1,,87,True,58.919,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,21,86.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,294.0,20,35
MW862804.1,,63,True,44.281,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,41,49.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,1,16
MW862992.1,,102,True,65.232,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,56,2.0,Duplodnaviria,Duplodnaviria,,93,2.0,Duplodnaviria,Duplodnaviria,,130,2.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,10.0,69.0,1,1
MW924647.1,,67,True,41.814,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,34,32.0,Duplodnaviria,Duplodnaviria,,56,32.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,4.0,9.0,2,57
MW960036.1,,102,True,76.359,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,23,81.0,Duplodnaviria,Duplodnaviria,,51,34.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,35.0,188.0,2,82
MW980066.1,,94,True,77.178,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,23,81.0,Duplodnaviria,Duplodnaviria,,51,34.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,35.0,188.0,1,82
MW980071.1,,99,True,77.655,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,23,81.0,Duplodnaviria,Duplodnaviria,,51,34.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,35.0,188.0,1,82
MZ004649.1,,59,True,40.542,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,35,100.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,3,15
MZ005682.1,,71,True,44.124,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,40,18.0,Duplodnaviria,Duplodnaviria,,67,18.0,Duplodnaviria,Duplodnaviria,,100,17.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,4.0,10.0,2,1
MZ028627.1,,164,True,84.56,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,94,1.0,Duplodnaviria,Duplodnaviria,,131,1.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,14.0,84.0,0,14
MZ089978.1,,32,True,14.852,26,6.0,Varidnaviria,Varidnaviria,,32,6.0,Varidnaviria,Varidnaviria,,57,6.0,Varidnaviria,Varidnaviria,,95,6.0,Varidnaviria,Varidnaviria,,132,4.0,Varidnaviria,Varidnaviria,,Varidnaviria,reference,1.0,1.0,1.0,
MZ089979.1,,30,True,14.444,26,6.0,Varidnaviria,Varidnaviria,,32,6.0,Varidnaviria,Varidnaviria,,57,6.0,Varidnaviria,Varidnaviria,,95,6.0,Varidnaviria,Varidnaviria,,132,4.0,Varidnaviria,Varidnaviria,,Varidnaviria,reference,1.0,1.0,1.0,
MZ150784.1,,67,True,42.874,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,36,32.0,Duplodnaviria,Duplodnaviria,,60,26.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,4.0,17.0,10,55
MZ150788.1,,73,True,46.684,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,20,787.0,Duplodnaviria,Duplodnaviria,,29,742.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,9.0,59.0,17,72
MZ150789.1,,71,True,39.738,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,58,1.0,Duplodnaviria,Duplodnaviria,,96,1.0,Duplodnaviria,Duplodnaviria,,133,1.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,5.0,28.0,0,0
MZ152915.1,,20,True,18.292,25,39.0,Duplodnaviria,Duplodnaviria,,31,37.0,Duplodnaviria,Duplodnaviria,,59,22.0,Duplodnaviria,Duplodnaviria,,97,22.0,Duplodnaviria,Duplodnaviria,,134,4.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,1.0,1.0,1,1
MZ171369.1,,63,True,37.078,27,1.0,Duplodnaviria,Duplodnaviria,,33,1.0,Duplodnaviria,Duplodnaviria,,60,1.0,Duplodnaviria,Duplodnaviria,edgeless,98,1.0,Duplodnaviria,Duplodnaviria,edgeless,135,1.0,Duplodnaviria,Duplodnaviria,edgeless,Duplodnaviria,reference,0.0,0.0,0,0
MZ171371.1,,72,True,45.072,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,20,787.0,Duplodnaviria,Duplodnaviria,,29,742.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,9.0,59.0,17,72
MZ209300.1,,100,True,57.866,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,18,43.0,Duplodnaviria,Duplodnaviria,,28,42.0,Duplodnaviria,Duplodnaviria,,46,12.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,1.0,1.0,1,1
MZ209302.1,,63,True,40.579,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,20,787.0,Duplodnaviria,Duplodnaviria,,29,742.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,4.0,6.0,7,58
MZ209303.1,,92,True,58.044,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,18,43.0,Duplodnaviria,Duplodnaviria,,28,42.0,Duplodnaviria,Duplodnaviria,,44,13.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,1.0,1.0,1,1
MZ234010.1,,86,True,45.176,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,35,100.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,2,15
MZ234016.1,,71,True,45.251,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,41,49.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,1,16
MZ234017.1,,145,True,75.747,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,39,21.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,44.0,231.0,1,103
MZ234028.1,,152,True,77.359,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,39,21.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,44.0,231.0,2,103
MZ234029.1,,69,True,45.243,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,41,49.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,1,16
MZ274225.1,,46,True,40.731,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,35,100.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,1,15
MZ274304.1,,85,True,52.807,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,20,787.0,Duplodnaviria,Duplodnaviria,,29,742.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,9.0,59.0,23,72
MZ274308.1,,69,True,41.822,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,36,32.0,Duplodnaviria,Duplodnaviria,,60,26.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,4.0,17.0,10,55
MZ274309.1,,93,True,58.377,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,18,43.0,Duplodnaviria,Duplodnaviria,,28,42.0,Duplodnaviria,Duplodnaviria,,44,13.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,1.0,1.0,1,1
MZ285879.1,,69,True,63.654,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,21,86.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,298.0,8,37
MZ318367.1,,83,True,46.774,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,123,40.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,286.0,2,50
MZ322012.1,,68,True,41.003,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,34,32.0,Duplodnaviria,Duplodnaviria,,56,32.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,4.0,9.0,2,57
MZ326856.1,,89,True,74.962,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,23,81.0,Duplodnaviria,Duplodnaviria,,136,6.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,35.0,188.0,1,82
MZ326857.1,,90,True,76.332,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,23,81.0,Duplodnaviria,Duplodnaviria,,136,6.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,35.0,188.0,1,82
MZ326859.2,,100,True,61.427,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,68,5.0,Duplodnaviria,Duplodnaviria,,101,5.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,66.0,326.0,3,131
MZ326861.1,,95,True,74.717,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,23,81.0,Duplodnaviria,Duplodnaviria,,136,6.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,35.0,188.0,3,82
MZ333134.1,,22,True,18.29,1,5018.0,Duplodnaviria,Duplodnaviria,,22,6.0,Duplodnaviria,Duplodnaviria,,61,2.0,Duplodnaviria,Duplodnaviria,,99,2.0,Duplodnaviria,Duplodnaviria,,137,1.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,11.0,70.0,0,1
MZ333136.1,,20,True,17.554,1,5018.0,Duplodnaviria,Duplodnaviria,,22,6.0,Duplodnaviria,Duplodnaviria,,61,2.0,Duplodnaviria,Duplodnaviria,,99,2.0,Duplodnaviria,Duplodnaviria,,138,1.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,11.0,70.0,0,1
MZ336020.1,,65,True,51.78,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,32,29.0,Duplodnaviria,Duplodnaviria,,89,7.0,Duplodnaviria,Duplodnaviria,,125,7.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,44.0,236.0,2,2
MZ342906.1,,118,True,76.626,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,39,21.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,44.0,231.0,1,103
MZ348421.1,,91,True,76.232,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,23,81.0,Duplodnaviria,Duplodnaviria,,95,8.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,35.0,188.0,2,89
MZ348422.1,,259,True,253.74,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,17,33.0,Duplodnaviria,Duplodnaviria,,49,11.0,Duplodnaviria,Duplodnaviria,,77,11.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,41.0,200.0,3,1
MZ348423.1,,294,True,174.783,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,33,261.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,42.0,211.0,27,112
MZ348426.1,,179,True,98.44,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,21,86.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,43.0,225.0,2,116
MZ358387.1,,86,True,72.458,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,23,81.0,Duplodnaviria,Duplodnaviria,,51,34.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,35.0,188.0,10,82
MZ359091.1,,29,True,16.927,25,39.0,Duplodnaviria,Duplodnaviria,,31,37.0,Duplodnaviria,Duplodnaviria,,59,22.0,Duplodnaviria,Duplodnaviria,,97,22.0,Duplodnaviria,Duplodnaviria,,139,18.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,1.0,1.0,1,1
MZ374361.1,,81,True,49.532,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,31,22.0,Duplodnaviria,Duplodnaviria,,50,17.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,283.0,1,19
MZ394712.1,,91,True,73.275,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,23,81.0,Duplodnaviria,Duplodnaviria,,51,34.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,35.0,188.0,8,82
MZ398021.1,,73,True,47.333,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,31,22.0,Duplodnaviria,Duplodnaviria,,50,17.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,283.0,1,19
MZ398135.2,,110,True,57.099,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,62,2.0,Duplodnaviria,Duplodnaviria,,100,2.0,Duplodnaviria,Duplodnaviria,,140,2.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,17.0,89.0,1,1
MZ398240.1,,98,True,61.86,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,68,5.0,Duplodnaviria,Duplodnaviria,,101,5.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,66.0,326.0,1,131
MZ398241.1,,98,True,61.662,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,68,5.0,Duplodnaviria,Duplodnaviria,,101,5.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,66.0,326.0,1,131
MZ398243.1,,120,True,76.631,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,39,21.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,44.0,231.0,1,103
MZ399596.2,,109,True,56.744,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,62,2.0,Duplodnaviria,Duplodnaviria,,100,2.0,Duplodnaviria,Duplodnaviria,,140,2.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,17.0,89.0,1,1
MZ420230.2,,43,True,31.962,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,109,48.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,52.0,251.0,4,25
MZ440881.1,,84,True,48.49,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,123,40.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,286.0,2,50
MZ447858.1,,106,True,73.099,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,101,6.0,Duplodnaviria,Duplodnaviria,,141,6.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,35.0,188.0,3,79
MZ456039.1,,79,True,47.548,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,20,787.0,Duplodnaviria,Duplodnaviria,,29,742.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,9.0,59.0,21,72
MZ501070.1,,64,True,44.295,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,41,49.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,1,16
MZ501088.1,,65,True,43.104,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,41,49.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,1,16
MZ501095.1,,65,True,44.882,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,41,49.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,1,16
MZ501097.1,,64,True,44.55,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,41,49.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,1,16
MZ501107.1,,63,True,43.627,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,41,49.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,1,16
MZ501267.1,,294,True,262.639,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,17,33.0,Duplodnaviria,Duplodnaviria,,49,11.0,Duplodnaviria,Duplodnaviria,,77,11.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,41.0,200.0,4,1
MZ504995.1,,79,True,50.707,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,31,22.0,Duplodnaviria,Duplodnaviria,,50,17.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,283.0,1,19
MZ520833.1,,39,True,29.512,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,109,48.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,52.0,251.0,3,25
MZ568829.1,,62,True,40.166,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,142,1.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,52.0,251.0,0,25
MZ576217.1,,80,True,45.288,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,1,1720.0,Duplodnaviria,Duplodnaviria,,8,1039.0,Duplodnaviria,Duplodnaviria,,35,100.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,62.0,292.0,2,15
MZ592920.1,,49,True,43.859,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,63,81.0,Duplodnaviria,Duplodnaviria,,102,15.0,Duplodnaviria,Duplodnaviria,,143,15.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,67.0,338.0,8,1
MZ622167.1,,74,True,48.092,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,52,15.0,Duplodnaviria,Duplodnaviria,,80,13.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,9.0,55.0,2,52
MZ622179.1,,91,True,53.154,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,50,22.0,Duplodnaviria,Duplodnaviria,,78,22.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,10.0,66.0,3,7
MZ648035.1,,90,True,52.659,1,5018.0,Duplodnaviria,Duplodnaviria,,1,4805.0,Duplodnaviria,Duplodnaviria,,13,1055.0,Duplodnaviria,Duplodnaviria,,50,22.0,Duplodnaviria,Duplodnaviria,,78,22.0,Duplodnaviria,Duplodnaviria,,Duplodnaviria,reference,10.0,66.0,3,7
