genome,strain,species,type,circular,typical_or_atypical,location,st_group,clonal_complex,oxytet_MIC,pmp1,pmp19,notes,sample_id2,AA004,AB563_AK401,AE171_AN896
GCA_049530755,21_J_4_05,Melissococcus_plutonius,nontype,N,Typical,USA: Michigan,ST39,CC3,NA,Y,Y,NA,GCA_049530755,N,Y,Y
GCA_049530955,21_C_3_01,Melissococcus_plutonius,nontype,N,Typical,USA: Michigan,ST39,CC3,NA,Y,N,NA,GCA_049530955,N,Y,N
GCA_049530995,21_B_5_01,Melissococcus_plutonius,nontype,N,Typical,USA: Michigan,ST39,CC3,NA,Y,Y,NA,GCA_049530995,N,Y,Y
GCA_049531015,21_B_3_03,Melissococcus_plutonius,nontype,N,Typical,USA: Michigan,ST39,CC3,NA,Y,Y,NA,GCA_049531015,N,Y,Y
GCA_051042715,21_F_4_10,Melissococcus_plutonius,nontype,N,Typical,USA: Michigan,ST39,CC3,NA,Y,Y,NA,GCA_051042715,N,Y,Y
GCA_001047405,B5,Melissococcus_plutonius,nontype,N,Typical,Switzerland,ST7,CC3,NA,Y,N,NA,GCA_001047405,N,Y,N
GCA_001047455,21.1,Melissococcus_plutonius,nontype,N,Typical,Switzerland,ST7,CC3,NA,Y,Y,NA,GCA_001047455,N,Y,Y
GCA_001047525,H6,Melissococcus_plutonius,nontype,N,Typical,Switzerland,ST7,CC3,NA,Y,Y,NA,GCA_001047525,N,Y,Y
GCA_001047545,60,Melissococcus_plutonius,nontype,N,Typical,Switzerland,ST7,CC3,NA,Y,Y,NA,GCA_001047545,N,Y,Y
GCA_001047555,L9,Melissococcus_plutonius,nontype,N,Typical,Switzerland,ST7,CC3,NA,Y,N,NA,GCA_001047555,N,Y,N
